MQ2,MQ3,MQ5,MQ8,MQ135
54,99,18,85,593
52,103,12,85,597
51,102,19,83,596
49,99,18,81,591
50,102,17,81,591
52,100,17,89,589
47,98,19,79,589
52,103,20,90,592
56,101,15,86,593
49,99,11,82,593
58,98,18,81,592
52,100,19,81,596
44,103,19,81,595
49,99,18,88,595
50,97,19,83,592
54,95,14,87,593
55,98,11,82,595
50,100,18,80,591
52,100,16,81,596
50,98,17,82,594
49,97,18,80,591
56,100,13,84,601
54,103,20,91,602
58,98,19,84,612
47,106,5,79,600
44,118,8,96,613
72,96,8,97,605
55,106,26,92,593
50,103,19,87,602
45,97,18,84,592
54,101,18,84,601
47,101,16,84,593
53,96,16,81,599
52,99,19,82,595
47,101,15,86,595
49,96,18,85,594
47,101,19,88,596
51,102,22,84,599
51,98,17,86,591
49,100,11,82,597
49,96,15,83,593
50,101,18,85,595
56,105,20,85,596
50,103,17,86,599
54,101,19,85,600
52,105,19,83,593
48,102,17,87,599
51,102,17,88,599
49,102,21,86,596
52,99,14,81,597
51,100,16,82,595
53,103,16,85,591
44,99,15,85,596
49,102,18,83,593
54,99,17,80,599
55,100,27,94,615
66,90,9,79,595
57,98,33,77,599
49,96,7,98,609
49,95,18,75,593
48,103,17,85,608
49,113,30,76,603
55,103,25,96,614
47,103,32,97,611
54,99,22,84,591
52,99,16,81,594
57,101,16,86,592
48,98,17,82,592
54,101,17,80,591
53,100,16,84,594
51,100,14,86,594
57,105,19,86,596
55,97,20,86,597
42,110,32,88,616
41,106,20,75,591
68,91,5,97,611
48,90,10,74,596
39,104,17,73,611
63,97,5,99,613
54,99,18,82,597
52,102,15,85,603
52,102,16,84,597
49,99,16,81,597
52,97,15,82,600
56,99,14,82,600
51,100,16,88,598
49,99,18,85,600
51,99,17,84,597
49,99,15,84,595
49,100,18,73,597
51,101,16,85,596
49,95,16,80,599
51,98,17,84,598
56,101,19,84,594
47,103,13,80,598
50,101,19,83,597
46,97,18,87,601
48,102,19,87,598
52,105,18,81,599
51,101,16,85,596
56,100,17,83,595
47,100,16,83,598
53,102,19,86,596
53,100,16,87,596
51,106,16,80,596
50,98,23,88,600
50,102,15,87,597
50,105,20,87,599
49,98,14,87,595
49,100,16,98,614
43,114,28,93,607
66,94,27,97,616
48,105,31,76,594
53,114,26,98,616
63,102,27,97,611
47,118,31,76,593
51,103,15,82,597
52,99,17,82,599
53,103,12,82,594
53,99,14,81,598
47,101,15,82,598
50,100,16,81,597
46,98,19,85,592
57,103,16,83,595
41,114,11,92,614
37,113,31,98,610
57,91,14,96,594
55,92,14,95,610
52,98,17,86,600
57,110,29,78,592
61,104,23,75,592
44,112,27,73,595
51,99,20,86,599
54,105,16,81,599
50,103,19,83,600
51,102,18,84,601
49,99,18,82,597
48,101,16,81,598
55,101,16,86,597
52,100,14,85,594
49,100,20,86,601
39,113,28,74,603
51,96,10,79,591
52,110,10,91,603
59,96,8,76,590
